"alfa","alfa_std","alfa_ordinal","omega","omega_ordinal","alfa_cobre","alfa_amplitude","alfa_std_cobre","alfa_std_amplitude","alfa_ordinal_cobre","alfa_ordinal_amplitude","omega_cobre","omega_amplitude","omega_ordinal_cobre","omega_ordinal_amplitude"
0.735255498413393,0.737358170153718,0.777726172413477,0.745943912935322,0.784734494031585,1,0.176,1,0.175,1,0.166,1,0.164,1,0.156
0.729392901988212,0.73145096891089,0.762610947929324,0.741516070783939,0.772278279110182,1,0.175,1,0.172,1,0.17,1,0.158,1,0.158
0.77255645506514,0.772315394271413,0.806708791939023,0.777328590242858,0.811153849556078,1,0.141,1,0.143,1,0.129,1,0.136,1,0.125
0.730573903087445,0.734304607086165,0.765114222349916,0.739093482605886,0.769596547938659,1,0.158,1,0.157,1,0.153,1,0.154,1,0.142
0.711752606567842,0.713698549691904,0.747811451314382,0.722121102518851,0.756648214471514,0,0.18,0,0.175,1,0.168,0,0.163,1,0.154
0.746251337403235,0.746110616208307,0.775514706136714,0.757669363242122,0.784141668377455,1,0.15,1,0.15,1,0.144,1,0.136,1,0.13
0.730046441300356,0.725588654630394,0.755412470396238,0.743810717005878,0.772286035696329,0,0.167,0,0.173,1,0.163,1,0.151,1,0.141
0.798673419907904,0.798327121773709,0.829724962212953,0.801353171195408,0.832690567510191,1,0.134,1,0.135,1,0.124,1,0.13,1,0.121
0.742640714318732,0.742019301698887,0.770514901405189,0.753083595799136,0.781662546444194,1,0.159,1,0.163,1,0.158,1,0.145,1,0.147
0.750849056603774,0.749961052371846,0.776062248726186,0.761045707902609,0.786791353315886,1,0.147,1,0.146,1,0.138,1,0.129,1,0.127
0.732387990522025,0.728691726486188,0.76214136394522,0.742090417523332,0.77439733135938,1,0.173,1,0.181,1,0.172,1,0.169,1,0.16
0.734829152249135,0.733140166409359,0.76170007663781,0.741991038988996,0.770180860343934,0,0.156,0,0.157,1,0.149,0,0.154,1,0.14
0.750341974443666,0.750708616955457,0.775591693318948,0.757694296981744,0.781532627864304,1,0.14,1,0.142,1,0.138,1,0.139,1,0.134
0.731893293012204,0.731826664430454,0.756551127006784,0.743900057684145,0.767952709426477,1,0.162,1,0.161,1,0.16,1,0.147,1,0.141
0.739057526978155,0.741425526444866,0.766097135529921,0.743837314854715,0.768803910671638,1,0.17,1,0.171,1,0.169,1,0.167,1,0.167
