"alfa","alfa_std","alfa_ordinal","omega","omega_ordinal","alfa_cobre","alfa_amplitude","alfa_std_cobre","alfa_std_amplitude","alfa_ordinal_cobre","alfa_ordinal_amplitude","omega_cobre","omega_amplitude","omega_ordinal_cobre","omega_ordinal_amplitude"
0.870155150417713,0.870683590676575,0.887652845150045,0.871534537803184,0.888176117615509,1,0.079,1,0.08,1,0.076,1,0.077,1,0.076
0.868844850371679,0.868991929347087,0.884344089671268,0.869936324277233,0.885326660163102,0,0.075,0,0.075,1,0.071,0,0.076,1,0.069
0.878425052675715,0.878673771394545,0.897547678869458,0.879105099994399,0.897892250051929,1,0.082,1,0.081,1,0.071,1,0.079,1,0.072
0.878304695654273,0.878761405952138,0.897575539973279,0.879478003983135,0.898270468860073,1,0.08,1,0.079,1,0.074,1,0.08,1,0.073
0.869383684071781,0.869511982081705,0.885101626101548,0.869707894192168,0.885457093667675,1,0.078,1,0.078,1,0.074,1,0.079,1,0.074
0.892859100877193,0.893030705114417,0.903235890488503,0.893333554991476,0.903440629498188,1,0.065,1,0.065,1,0.062,1,0.065,1,0.061
0.883848316367466,0.883408856407681,0.892043552116574,0.884733058882241,0.89333465497271,1,0.065,1,0.066,1,0.063,1,0.065,1,0.061
0.906573999044235,0.907314342610562,0.922254841354642,0.908032678919445,0.92275755263223,1,0.071,1,0.072,1,0.064,1,0.07,1,0.064
0.886592572833422,0.886492695618558,0.903967321533827,0.886858290420947,0.904255847294537,1,0.064,1,0.064,1,0.06,1,0.063,1,0.06
0.892658677704429,0.893126033355088,0.902017025699286,0.894153859296594,0.902843999780261,1,0.062,1,0.062,1,0.06,1,0.06,1,0.058
0.861259284155042,0.860756348119099,0.880053927805194,0.862524128474788,0.881219450112509,1,0.102,1,0.104,1,0.097,1,0.103,1,0.096
0.892991440358557,0.893206181836459,0.896370205794853,0.893436365511934,0.896468445634788,1,0.068,1,0.069,1,0.069,1,0.068,1,0.069
0.888514482363063,0.888190631964988,0.899334535292402,0.88923951207606,0.9001309499526,1,0.07,1,0.07,1,0.067,1,0.067,1,0.065
0.878130595678644,0.878151473248959,0.888392981722818,0.878388443094586,0.888753547380629,1,0.067,1,0.067,1,0.063,1,0.068,1,0.062
0.873385177630461,0.873879875826657,0.885371273090634,0.874415230558429,0.885734418193501,1,0.078,1,0.079,1,0.076,1,0.078,1,0.075
0.86701652792858,0.867438938460245,0.883550264369312,0.867684218750132,0.883728114019002,1,0.086,1,0.088,1,0.083,1,0.086,1,0.083
0.874979042604057,0.875562492634814,0.891809163432455,0.876720739355505,0.892645054091896,1,0.076,1,0.077,1,0.071,1,0.075,1,0.071
0.863230628951945,0.864746697379787,0.881289534094434,0.865390168584471,0.88181757011989,1,0.083,1,0.081,1,0.08,1,0.081,1,0.079
0.902626737530662,0.902790050799624,0.915272356908082,0.903669375609696,0.915908231006632,1,0.058,1,0.058,1,0.053,1,0.057,1,0.052
0.872343773415255,0.872687623303843,0.88359895551138,0.874269188311349,0.8849131086044,1,0.076,1,0.076,1,0.071,1,0.073,1,0.071
0.893508390520284,0.893533613833277,0.905293180416324,0.894321732592421,0.906127097367811,1,0.064,1,0.064,1,0.062,1,0.063,1,0.062
0.852183014959413,0.852267371439435,0.870348260560029,0.853404715922759,0.871308963903699,0,0.089,0,0.089,1,0.085,0,0.087,1,0.083
0.877515142809992,0.877984372872893,0.898302668948479,0.878523307535541,0.898662944986154,1,0.079,1,0.078,1,0.074,1,0.077,1,0.074
0.897164312622935,0.897330740267251,0.913942690980298,0.897418204003818,0.913991278088871,1,0.066,1,0.065,1,0.057,1,0.065,1,0.057
0.922777056093681,0.922768376475039,0.935603225902699,0.923092280086239,0.935851680209761,1,0.051,1,0.051,0,0.048,1,0.051,0,0.047
0.890702171972627,0.890947572784503,0.908431345292182,0.891440985340426,0.908738512434273,1,0.067,1,0.067,1,0.066,1,0.066,1,0.065
0.901636650228496,0.901867963736362,0.918233229359534,0.902055140045336,0.918429932094643,1,0.063,1,0.063,1,0.056,1,0.063,1,0.057
0.838519589141354,0.838838334564906,0.861932365785774,0.8394235902948,0.862375960496006,0,0.092,0,0.09,0,0.082,0,0.089,0,0.082
0.854004533134679,0.854642806670229,0.868178066828768,0.855174161171995,0.868708058584186,0,0.09,0,0.091,1,0.084,0,0.089,1,0.083
0.842906845168117,0.843748287233169,0.85704666339832,0.845948072411751,0.858600257194574,0,0.097,0,0.096,0,0.093,0,0.092,0,0.089
0.843761471384739,0.844869601384689,0.859643653734399,0.846696623484512,0.861376209558983,0,0.098,0,0.097,0,0.096,0,0.094,0,0.095
0.825375204417606,0.825477228470319,0.843156570395608,0.828015306522862,0.845942680432861,0,0.11,0,0.11,0,0.103,0,0.109,0,0.101
0.865747327425188,0.866023580719815,0.88499221858776,0.868250707696545,0.886777844048804,1,0.086,1,0.087,1,0.081,1,0.083,1,0.078
0.897687581735965,0.898276417852296,0.913730678542314,0.898435764752393,0.913838324050351,1,0.067,1,0.066,1,0.064,1,0.064,1,0.063
0.908957722371342,0.909571499576281,0.921677315410505,0.910492855449132,0.922232832900748,1,0.056,1,0.055,1,0.051,1,0.053,1,0.051
0.864363048938584,0.864828682044163,0.882468692114437,0.865468953854616,0.88284052020441,1,0.083,1,0.082,1,0.077,1,0.083,1,0.077
0.866962015971652,0.867578871156157,0.87954072697306,0.868792727560566,0.88066315123926,1,0.097,1,0.095,1,0.09,1,0.092,1,0.089
0.860582214269423,0.860642985085972,0.880088645662894,0.861123362148174,0.880597574705304,1,0.091,1,0.091,1,0.087,0,0.09,1,0.087
0.890652362400105,0.891130291230098,0.90524968677191,0.891492422005787,0.905760324965439,1,0.067,1,0.067,1,0.062,1,0.067,1,0.062
0.879853666188269,0.879915956368646,0.902644168936601,0.880122263790234,0.902794621766469,1,0.083,1,0.083,1,0.075,1,0.083,1,0.074
0.888200631807958,0.888303731625026,0.910915505403507,0.889569445916145,0.911669542173807,1,0.079,1,0.078,1,0.067,1,0.076,1,0.065
0.866789982733502,0.866833586176896,0.883554893637372,0.867883809848369,0.884498186425937,1,0.085,1,0.085,1,0.084,1,0.085,1,0.083
0.879404665617975,0.879428139193253,0.895563177032013,0.880498707396452,0.896417759523113,1,0.082,1,0.082,1,0.078,1,0.081,1,0.079
0.866775746656007,0.867169311404832,0.887494171086328,0.867655037865289,0.887785524105891,1,0.09,1,0.091,1,0.084,1,0.09,1,0.082
0.881283402046114,0.881755055650804,0.897177021857353,0.88216386786181,0.897571310282646,1,0.075,1,0.076,1,0.07,1,0.075,1,0.07
0.870782246199117,0.87136301079428,0.890544404890979,0.871770302688902,0.890979812665972,1,0.082,1,0.082,1,0.075,1,0.081,1,0.075
0.890224325123569,0.89039263173256,0.90539032222751,0.891018536346087,0.906123642083184,1,0.07,1,0.071,1,0.065,1,0.069,1,0.064
0.843393309710924,0.843229447399555,0.860434385010402,0.843722132911615,0.861225537054526,0,0.103,0,0.105,1,0.096,0,0.102,1,0.096
0.892772534337,0.893220372962727,0.906349146768282,0.893462855582112,0.906677491580329,1,0.064,1,0.064,1,0.059,1,0.064,1,0.058
0.890021981357785,0.89029164760577,0.905278063758561,0.890476890768755,0.905473196567315,1,0.072,1,0.072,1,0.067,1,0.072,1,0.066
0.896593702706722,0.897056029560311,0.912151908115664,0.897356938522891,0.912283535726277,1,0.068,1,0.068,1,0.064,1,0.068,1,0.064
0.877964117091596,0.877575167417598,0.886380740948263,0.87906820164347,0.887905220282814,1,0.064,1,0.067,1,0.064,1,0.065,1,0.063
0.869124906830285,0.869313328950668,0.889785022647642,0.870334889833564,0.890648713249183,1,0.084,1,0.084,1,0.076,1,0.081,1,0.075
0.907474499862161,0.907491901762168,0.919189835724303,0.90766001119859,0.919494320021217,1,0.055,1,0.055,1,0.053,1,0.055,1,0.054
0.895037705584548,0.89490904863895,0.909184482583033,0.895259236084782,0.909565456934087,1,0.07,1,0.07,1,0.067,1,0.069,1,0.067
0.890378353349891,0.890442727910315,0.902544334820647,0.890816395602072,0.902903382506287,1,0.064,1,0.066,1,0.061,1,0.064,1,0.06
0.864657197573677,0.864591705599603,0.880541567155719,0.865572440616134,0.881365589914417,0,0.082,0,0.081,1,0.078,0,0.079,1,0.075
0.879556862148995,0.879944490413964,0.894206254720639,0.880327979871511,0.894537176569053,1,0.077,1,0.077,1,0.071,1,0.077,1,0.071
0.875265550921008,0.87584682401483,0.891759849322723,0.876828730310453,0.892495016511445,1,0.077,1,0.076,1,0.07,1,0.075,1,0.069
0.886942135597296,0.887161453691332,0.899659305547784,0.887495850347298,0.900039020197888,1,0.068,1,0.067,1,0.066,1,0.069,1,0.065
0.880544055426916,0.880697940376819,0.885572742259391,0.881083440563802,0.88604696885333,1,0.069,1,0.069,1,0.067,1,0.07,1,0.067
0.879040798445774,0.879582748175742,0.89203652730686,0.879831386416222,0.892181792123733,1,0.075,1,0.075,1,0.073,1,0.074,1,0.073
0.894347074621058,0.894728497969089,0.906394482353992,0.894942573358116,0.906522724426291,1,0.066,1,0.066,1,0.062,1,0.065,1,0.061
0.874442624861231,0.874755756171267,0.895823078855037,0.875895755830494,0.896726446315965,1,0.082,1,0.082,1,0.073,1,0.081,1,0.073
0.863592913982099,0.863801873156469,0.87480622904412,0.864425192978864,0.875208218585995,1,0.089,1,0.09,1,0.088,1,0.089,1,0.088
0.888312771917278,0.888467671489707,0.899531693126002,0.888883792873924,0.899855797461742,1,0.072,1,0.072,1,0.067,1,0.071,1,0.066
0.877308817958525,0.877365098821148,0.892113100777109,0.87820802867122,0.893079294934832,1,0.086,1,0.085,1,0.08,1,0.084,1,0.082
0.905102089256892,0.905717160701125,0.921585646705133,0.906033711183582,0.921814495031071,1,0.063,1,0.061,1,0.054,1,0.061,1,0.053
0.851921852067237,0.851998259254846,0.868106088998126,0.852699822767474,0.868487279890001,0,0.098,0,0.099,1,0.091,0,0.099,1,0.092
0.876607313264873,0.877018326771941,0.893936133172303,0.87781104023592,0.894577315316111,1,0.084,1,0.086,1,0.083,1,0.086,1,0.081
0.887881966903937,0.888208331989213,0.89971565131003,0.888500855420629,0.900039890632569,1,0.069,1,0.069,1,0.071,1,0.068,1,0.072
0.891909274456168,0.892262850477296,0.908090149153788,0.892301463623241,0.908108011106057,1,0.068,1,0.068,1,0.063,1,0.068,1,0.064
0.89117082867545,0.891169928490633,0.910379586420696,0.892609528594067,0.911500177804285,1,0.066,1,0.066,1,0.059,1,0.064,1,0.059
0.894641360970456,0.894761338305067,0.906419435510298,0.894995600865675,0.906638184231613,1,0.069,1,0.069,1,0.063,1,0.067,1,0.062
0.892500510844064,0.893222307974573,0.908493183492397,0.893356453620147,0.908648382988884,1,0.069,1,0.07,1,0.062,1,0.069,1,0.063
0.88626342017698,0.886574336390529,0.90186973186201,0.886984105815032,0.902302169500393,1,0.071,1,0.071,1,0.066,1,0.071,1,0.066
0.891138626886844,0.891327447593731,0.907860357084969,0.892198967661766,0.908641618777028,1,0.073,1,0.072,1,0.068,1,0.07,1,0.066
0.86511288069473,0.865375023457795,0.88653025838317,0.865507246286918,0.886683548916791,1,0.083,1,0.082,1,0.075,1,0.082,1,0.078
0.881222291902095,0.881593885913817,0.904068095455977,0.881926838273335,0.904217279704179,1,0.078,1,0.08,1,0.068,1,0.08,1,0.069
0.910054752135256,0.910202848354435,0.927086034893618,0.910366357520345,0.927198023375104,1,0.055,1,0.055,0,0.049,1,0.054,0,0.048
0.885797904341723,0.886544927004452,0.902139778082719,0.886686819429651,0.902252535143582,1,0.065,1,0.064,1,0.063,1,0.064,1,0.062
0.885627740499601,0.88591373537258,0.904766092520898,0.886782626592188,0.905308776237805,1,0.084,1,0.083,1,0.076,1,0.081,1,0.075
0.891437506739998,0.891665017876732,0.910425782022467,0.891818313897514,0.910570372197485,1,0.068,1,0.067,1,0.062,1,0.067,1,0.062
0.888672368931275,0.88882556716369,0.900879245486172,0.88934401242282,0.901228801675666,1,0.065,1,0.066,1,0.062,1,0.064,1,0.061
0.903709766106286,0.903908576546076,0.919736242274927,0.903937586300399,0.919843682730206,1,0.058,1,0.059,1,0.053,1,0.059,1,0.053
0.89831531081744,0.898030285798345,0.910299094918777,0.899225920549236,0.911099353364153,1,0.057,1,0.057,1,0.053,1,0.057,1,0.051
0.889377061866167,0.89066152585955,0.901499714809361,0.891116091086581,0.901877606735894,1,0.065,1,0.065,1,0.065,1,0.064,1,0.064
0.890769508999732,0.890924626383193,0.907526891601969,0.891474396527096,0.908195130816183,1,0.07,1,0.07,1,0.066,1,0.068,1,0.064
0.903852924696447,0.905023560708788,0.91783871163217,0.906248537177066,0.918845071465265,1,0.056,1,0.054,1,0.051,1,0.052,1,0.05
0.866747432201853,0.867192985377902,0.876853866795494,0.868012693519902,0.877574306581862,1,0.087,1,0.087,1,0.081,1,0.087,1,0.082
0.8709196512965,0.870839497781984,0.885989166635899,0.871257684738614,0.886465814175794,1,0.081,1,0.082,1,0.079,1,0.081,1,0.077
0.869775838458562,0.870172784907042,0.885596862947896,0.871679843010999,0.886959342810236,1,0.088,1,0.088,1,0.083,1,0.085,1,0.08
0.921152990711168,0.921375648947178,0.937956329528608,0.921535973128088,0.938070927034905,1,0.05,1,0.05,0,0.045,1,0.05,0,0.045
0.885692968408793,0.886014418262014,0.902035796051819,0.887284810629537,0.902775964578632,1,0.072,1,0.071,1,0.064,1,0.072,1,0.062
0.899610884011437,0.899680100941165,0.920150135986172,0.899739094809726,0.920257308260414,1,0.068,1,0.067,1,0.06,1,0.072,1,0.06
0.861752290881889,0.861312600337674,0.876043983096416,0.86226639719049,0.877013463714249,0,0.083,0,0.084,1,0.083,0,0.083,1,0.082
0.828273566898469,0.827221470298429,0.840585548848841,0.829698288470026,0.842856678139065,0,0.112,0,0.114,0,0.112,0,0.113,0,0.11
