"alfa","alfa_std","alfa_ordinal","omega","omega_ordinal","alfa_cobre","alfa_amplitude","alfa_std_cobre","alfa_std_amplitude","alfa_ordinal_cobre","alfa_ordinal_amplitude","omega_cobre","omega_amplitude","omega_ordinal_cobre","omega_ordinal_amplitude"
0.88633829856878,0.886547664090913,0.900410913845618,0.8867766910261,0.90059414861499,1,0.032,1,0.032,1,0.03,1,0.032,1,0.029
0.888414037784613,0.888461302813398,0.902339231062295,0.888495712646291,0.902367778507647,1,0.03,1,0.03,1,0.028,1,0.03,1,0.028
0.881940604537494,0.882042846554643,0.898221379366236,0.882321636946883,0.898467516248008,0,0.032,0,0.032,1,0.03,0,0.031,1,0.03
0.883607392913908,0.883593947222107,0.899485600489546,0.883853441480097,0.899742002890684,0,0.034,0,0.034,1,0.032,0,0.034,1,0.032
0.889720514863818,0.889769091195114,0.903320053760954,0.88997953999899,0.903536516470185,1,0.031,1,0.031,1,0.03,1,0.031,1,0.03
0.887883334280287,0.888006969656944,0.902844475095172,0.888042271884373,0.902881963519808,1,0.03,1,0.03,1,0.028,1,0.03,1,0.028
0.864626745283028,0.86465928415031,0.880574488764204,0.864858523482296,0.880712281504614,0,0.037,0,0.037,0,0.034,0,0.037,0,0.035
0.880643484713395,0.880884481149336,0.893605941820767,0.880970020270897,0.8937014478465,0,0.034,0,0.034,1,0.031,0,0.034,1,0.031
0.886825239307534,0.886803613969399,0.903591045994323,0.887007730404717,0.903798517536349,1,0.033,1,0.033,1,0.031,1,0.033,1,0.03
0.899388459108072,0.899482838049789,0.913146359419814,0.899586558605607,0.913232074615659,1,0.028,1,0.027,1,0.026,1,0.027,1,0.026
0.8826543934185,0.882793508666458,0.899112130568725,0.882895293323912,0.899164607181126,0,0.034,0,0.034,1,0.031,0,0.034,1,0.031
0.878191124821113,0.878210691290549,0.892272688932281,0.878349857820209,0.892383370977753,0,0.033,0,0.033,1,0.03,0,0.032,1,0.03
0.875644679498946,0.875859978714191,0.892896600267189,0.876138596594744,0.893090119627838,0,0.035,0,0.035,1,0.032,0,0.035,1,0.033
0.876194914288725,0.876174512508682,0.892511052368705,0.876277703270308,0.892646184054864,0,0.032,0,0.032,1,0.03,0,0.032,1,0.03
0.886612835487605,0.886680232910376,0.901631519948181,0.886728694079835,0.901688484030106,1,0.031,1,0.031,1,0.03,1,0.031,1,0.03
0.888169202152608,0.888162723305401,0.903675996315575,0.8882376037718,0.903749222607168,1,0.031,1,0.031,1,0.029,1,0.03,1,0.029
0.883923486407094,0.883970555407627,0.898716240126458,0.884165957154199,0.89885109712331,0,0.034,0,0.034,1,0.031,0,0.033,1,0.03
0.897702424444679,0.89777887069189,0.912425708012633,0.89791255427418,0.912549668792458,1,0.027,1,0.027,1,0.025,1,0.027,1,0.025
0.878216773768274,0.878340263185509,0.89440391365836,0.87842048199674,0.894459697257885,0,0.033,0,0.033,1,0.03,0,0.032,1,0.03
0.899141310577995,0.899129168659155,0.90995264163875,0.899265568852105,0.910065540303971,1,0.027,1,0.027,1,0.026,1,0.027,1,0.026
0.894864623173651,0.894852929677458,0.909159532481175,0.894911436734844,0.909248981517446,1,0.029,1,0.029,1,0.028,1,0.03,1,0.028
0.874941405707451,0.875021160312915,0.892295274663708,0.875320555676535,0.892538425390631,0,0.034,0,0.034,1,0.031,0,0.034,1,0.031
0.872572288153802,0.872575221454085,0.885954031124069,0.872645909065271,0.886023003803173,0,0.036,0,0.036,1,0.034,0,0.036,1,0.034
0.883966249270808,0.883862825758434,0.899338047969019,0.884334619404442,0.899768607423023,0,0.031,0,0.032,1,0.029,0,0.032,1,0.029
0.877530791765105,0.877599608174578,0.894715869757724,0.877769968972478,0.894860992142357,0,0.035,0,0.036,1,0.033,0,0.035,1,0.033
0.863913181837803,0.863985403108026,0.877517193028162,0.864194122212911,0.877683671575825,0,0.037,0,0.037,0,0.035,0,0.037,0,0.035
0.892986885143249,0.893080641359023,0.908572749820253,0.893342810589871,0.908783642617425,1,0.03,1,0.03,1,0.028,1,0.03,1,0.027
0.905423658830256,0.905457826182126,0.919121596077018,0.905533990699434,0.919172625723658,1,0.025,1,0.025,0,0.023,1,0.025,0,0.023
0.894998580145489,0.895083701859672,0.907301513318404,0.895287156670008,0.907436548937265,1,0.027,1,0.027,1,0.024,1,0.026,1,0.024
0.877638404626244,0.877645806392468,0.895122315903618,0.87779238259712,0.895251597478652,0,0.032,0,0.032,1,0.03,0,0.032,1,0.03
0.893670774177756,0.893746440191961,0.90652888388664,0.893857051180686,0.90664918938431,1,0.03,1,0.03,1,0.027,1,0.029,1,0.027
0.88108280996826,0.880922347661443,0.897322756110578,0.881559847165645,0.897769545092994,0,0.031,0,0.031,1,0.029,0,0.03,1,0.029
0.88751453573783,0.887501370242826,0.902389496617856,0.88759521576261,0.902505473267927,1,0.031,1,0.032,1,0.03,1,0.032,1,0.03
0.88237581676966,0.882374950706719,0.897109139523783,0.882490355692963,0.897226490236401,0,0.034,0,0.034,1,0.032,0,0.034,1,0.032
0.865268798905246,0.865314468492663,0.880740005803661,0.865399826340101,0.880851529210028,0,0.038,0,0.038,0,0.035,0,0.037,0,0.035
0.895185816768112,0.895264704414037,0.911791724383456,0.895375997517985,0.911896318995386,1,0.029,1,0.029,1,0.027,1,0.029,1,0.027
0.864565957335915,0.864613228640162,0.884886189404402,0.86482075486778,0.885035089613948,0,0.039,0,0.039,1,0.036,0,0.039,1,0.036
0.885688779527458,0.885815697335925,0.901822275199674,0.885934567557528,0.901913267277974,1,0.034,1,0.034,1,0.03,1,0.034,1,0.03
