"alfa","alfa_std","alfa_ordinal","omega","omega_ordinal","alfa_cobre","alfa_amplitude","alfa_std_cobre","alfa_std_amplitude","alfa_ordinal_cobre","alfa_ordinal_amplitude","omega_cobre","omega_amplitude","omega_ordinal_cobre","omega_ordinal_amplitude"
0.886246814712883,0.886434593496612,0.90043188855655,0.886725469825895,0.900676591775157,1,0.031,1,0.031,1,0.03,1,0.032,1,0.03
0.890001011264921,0.890069568542017,0.90428839277775,0.890087031411384,0.904290891048772,1,0.028,1,0.028,1,0.028,1,0.028,1,0.028
0.8824684839425,0.882498120276333,0.898527295199229,0.882640541790162,0.898671342114695,0,0.033,0,0.033,1,0.031,0,0.033,1,0.031
0.884246040730011,0.884259282029513,0.89999395046109,0.884375104822526,0.900114784254785,0,0.034,0,0.034,1,0.031,0,0.034,1,0.03
0.891109119305066,0.891188731001596,0.904550619638866,0.891315829416007,0.904694213288654,1,0.03,1,0.03,1,0.029,1,0.03,1,0.028
0.88845748118924,0.888591939240079,0.903117264057043,0.888594567290553,0.903132235853457,1,0.03,1,0.03,1,0.029,1,0.03,1,0.028
0.866384142155622,0.866433938702068,0.882345037531664,0.866675078853359,0.882542463371775,0,0.04,0,0.04,0,0.037,0,0.04,0,0.037
0.881257306068516,0.881468495580677,0.894424665099615,0.881568577012596,0.89452432113161,0,0.034,0,0.034,1,0.032,0,0.034,1,0.031
0.888176024067671,0.888174696824371,0.90449886427143,0.888270584523337,0.904591699524592,1,0.03,1,0.03,1,0.029,1,0.03,1,0.029
0.899104172379192,0.899209659440315,0.913140457482654,0.899264654080335,0.913192342969562,1,0.027,1,0.027,1,0.025,1,0.026,1,0.025
0.881694479348299,0.881819795963327,0.898119572780134,0.881874181398376,0.898147619970624,0,0.032,0,0.032,1,0.029,0,0.032,1,0.029
0.876190583350513,0.876229310764925,0.890303468377427,0.876289108106865,0.89033599689461,0,0.034,0,0.034,1,0.032,0,0.034,1,0.032
0.875344674469331,0.875596061467038,0.892818394968063,0.875882349562463,0.893034952179582,0,0.035,0,0.035,1,0.033,0,0.034,1,0.033
0.875513880890707,0.875509840077783,0.892191362163926,0.87557003570292,0.892260170510442,0,0.036,0,0.036,1,0.033,0,0.036,1,0.033
