"alfa","alfa_std","alfa_ordinal","omega","omega_ordinal","alfa_cobre","alfa_amplitude","alfa_std_cobre","alfa_std_amplitude","alfa_ordinal_cobre","alfa_ordinal_amplitude","omega_cobre","omega_amplitude","omega_ordinal_cobre","omega_ordinal_amplitude"
0.784261281864478,0.784016770874619,0.810924606716847,0.787083207526643,0.813985671026075,1,0.071,1,0.071,1,0.069,1,0.07,1,0.067
0.777906061650684,0.779169239895339,0.80881117403076,0.787604563644913,0.816294938979267,1,0.069,1,0.069,1,0.066,1,0.065,1,0.062
0.747678460684793,0.749040492829424,0.781837778386774,0.751479844320905,0.784054147259056,0,0.089,0,0.088,1,0.081,0,0.085,1,0.083
0.780908553320787,0.780539112219358,0.808192918182021,0.784731450801306,0.812545694179627,1,0.068,1,0.068,1,0.066,1,0.065,1,0.063
0.758365091277693,0.75929645396279,0.784889855941944,0.764438987306407,0.789884720695833,0,0.079,0,0.078,1,0.075,0,0.076,1,0.072
0.750307321749358,0.749159956811787,0.781506338991901,0.756753209839888,0.789628834353956,0,0.078,0,0.077,1,0.074,0,0.075,1,0.069
0.75835540668802,0.75764467038856,0.788341623520356,0.763103759375616,0.793788108886536,0,0.08,0,0.08,1,0.075,0,0.08,1,0.072
0.743389197730492,0.74536465516799,0.777101358880849,0.749290975615631,0.780796892129088,0,0.086,0,0.085,1,0.083,0,0.082,1,0.08
0.751949647680383,0.750553341837032,0.787224962951701,0.756285617999411,0.792423101962954,0,0.085,0,0.087,1,0.082,0,0.082,1,0.077
0.763208187347209,0.763531727487916,0.796285514096364,0.766842204779648,0.799516793202397,0,0.076,0,0.076,1,0.073,0,0.072,1,0.069
0.729173108819714,0.729568353924799,0.763144934437628,0.734453071227637,0.767200138139956,0,0.085,0,0.084,1,0.081,0,0.081,1,0.077
0.740545849127808,0.739455369291523,0.770003708138513,0.748388819491483,0.778536592926918,0,0.084,0,0.084,1,0.083,0,0.081,1,0.079
0.750078615684041,0.753760605411644,0.780631015206082,0.760335150450431,0.787097709917824,0,0.078,0,0.076,1,0.073,0,0.073,1,0.071
0.736272816095718,0.736598841981225,0.770063414614493,0.745546806681114,0.778296400676669,0,0.078,0,0.078,1,0.075,0,0.073,1,0.072
0.775388452028871,0.775203144647608,0.803182703591295,0.780364593858298,0.808552848849278,1,0.073,1,0.073,1,0.069,1,0.069,1,0.066
0.737860775496223,0.734893757752013,0.760748459414012,0.74193348858797,0.768140225383806,0,0.083,0,0.083,1,0.08,0,0.079,1,0.076
0.718603462396852,0.72010790953487,0.762400234128578,0.730077958772673,0.770948031570774,0,0.099,0,0.097,1,0.088,0,0.09,1,0.084
0.762211727739969,0.762361833784498,0.793104707374751,0.767583656183086,0.798044074263064,0,0.074,0,0.074,1,0.071,1,0.071,1,0.068
0.730932985398766,0.730545088437694,0.762641472775785,0.739553090114708,0.771130144958782,0,0.09,0,0.09,1,0.087,0,0.085,1,0.084
0.768145694109697,0.768189134220218,0.793341114477628,0.77999071122804,0.80489431790309,1,0.074,1,0.072,1,0.07,1,0.067,1,0.064
0.775343756488801,0.774664919719326,0.807414313803446,0.779855384504033,0.812789470170415,1,0.075,1,0.075,1,0.072,1,0.07,1,0.067
0.743849212924606,0.744115497686672,0.773881552832157,0.749043736887081,0.778450038206432,0,0.084,0,0.084,1,0.08,0,0.08,1,0.077
0.727449108044757,0.726897724110097,0.757046504634038,0.732579942411399,0.762974987008099,0,0.089,0,0.089,0,0.087,0,0.084,1,0.082
0.731314823961053,0.731039907970824,0.758096283916611,0.737162405932887,0.764359325936635,0,0.094,0,0.094,0,0.09,0,0.089,0,0.086
0.731925117212548,0.73248526613357,0.76559670538651,0.737760847946272,0.770656701561112,0,0.089,0,0.088,1,0.087,0,0.085,1,0.085
0.769763156598538,0.770674374819008,0.799633862019294,0.773823334460984,0.802752334338961,1,0.072,1,0.073,1,0.071,1,0.07,1,0.067
0.778743904991122,0.779513711535604,0.808988660465709,0.783199459489511,0.812624477559358,1,0.076,1,0.075,1,0.073,1,0.073,1,0.069
0.741089736600682,0.742476212434309,0.772267808002224,0.753902505798152,0.784467536023706,0,0.083,0,0.082,1,0.076,0,0.076,1,0.074
0.729048028057637,0.729046415229784,0.754916990435513,0.737011574035104,0.76349541282758,0,0.081,0,0.08,0,0.076,0,0.077,0,0.073
0.769275897761475,0.7690500390196,0.795527644237964,0.772551763745505,0.799024648714318,1,0.074,1,0.074,1,0.07,1,0.071,1,0.069
0.712821346294887,0.71282637280971,0.745431536469671,0.720850226559217,0.753032426920458,0,0.094,0,0.094,0,0.088,0,0.088,0,0.082
0.735323054331865,0.735674487925278,0.769432743764422,0.742592393833865,0.776156556275783,0,0.089,0,0.088,1,0.083,0,0.083,1,0.079
0.77688572611059,0.777566778926789,0.808005943942329,0.781854868998178,0.811866443219701,1,0.077,1,0.077,1,0.075,1,0.074,1,0.072
0.76215849722139,0.761979689965674,0.789288417007255,0.766243249299551,0.793414990378153,0,0.08,0,0.08,1,0.076,0,0.078,1,0.073
0.76633025950516,0.765465630553377,0.79778097396326,0.772788157339369,0.804876534904072,1,0.075,1,0.075,1,0.07,1,0.07,1,0.065
0.73017395445985,0.731023874216459,0.766048594247874,0.739082892101928,0.773797197748772,0,0.095,0,0.093,1,0.089,0,0.088,1,0.083
0.70326098469389,0.702986819103704,0.742078726754884,0.710109967012177,0.749577520440567,0,0.108,0,0.109,0,0.102,0,0.101,0,0.096
0.744475956547061,0.745155423373834,0.771128213532349,0.751873378318785,0.777716995898886,0,0.087,0,0.086,1,0.083,0,0.082,1,0.079
0.747661514238976,0.748203048459684,0.775826099395899,0.755301886705023,0.782539111952185,0,0.081,0,0.079,1,0.076,0,0.075,1,0.073
0.760272249733846,0.760306714600846,0.78766450176588,0.767511914099918,0.795078230649165,0,0.071,0,0.07,1,0.068,0,0.068,1,0.065
0.73999815882486,0.740256544050771,0.766827998230158,0.748256042565179,0.774873234141862,0,0.078,0,0.077,1,0.075,0,0.074,1,0.072
0.735294217783772,0.734164881855376,0.765349413774891,0.741422351614151,0.772696966151095,0,0.089,0,0.089,1,0.088,0,0.084,1,0.081
0.740006346245217,0.740134871075927,0.769514640745541,0.744330595515504,0.773787667235475,0,0.087,0,0.087,1,0.085,0,0.085,1,0.082
0.766381131505042,0.765780176298126,0.795063174853181,0.771804897966386,0.80081691071359,1,0.08,1,0.08,1,0.078,1,0.077,1,0.074
0.751310088878978,0.75246544947833,0.785340002985412,0.757481884145072,0.790069822893105,0,0.088,0,0.087,1,0.084,0,0.086,1,0.081
0.707929261661665,0.707225289498077,0.737804167282241,0.715749240427137,0.747180498624536,0,0.093,0,0.093,0,0.091,0,0.09,0,0.087
0.712005738334378,0.713236228025118,0.746474632642731,0.719721014859238,0.753248817319274,0,0.099,0,0.099,0,0.094,0,0.095,0,0.09
0.732305568338702,0.732873507355868,0.760749252581238,0.743074750849381,0.771032829293671,0,0.089,0,0.087,0,0.085,0,0.082,1,0.078
0.716025850603572,0.715742863886185,0.748164835808422,0.728599529820164,0.760502779241143,0,0.094,0,0.093,0,0.089,0,0.085,0,0.082
0.724436458953923,0.725088061572131,0.760208854587186,0.732020963502318,0.76702854269262,0,0.092,0,0.092,0,0.09,0,0.088,1,0.085
0.755867883613296,0.756067883007278,0.791147490706332,0.760289897625512,0.795113894032645,0,0.083,0,0.084,1,0.081,0,0.082,1,0.08
0.777497693830054,0.778085709354423,0.807637116683301,0.783344109202386,0.81247088902813,1,0.069,1,0.069,1,0.065,1,0.066,1,0.062
0.729440893102711,0.729382770038124,0.76002134076404,0.737268863470623,0.768135116403852,0,0.083,0,0.082,0,0.079,0,0.078,1,0.074
0.735739309762218,0.736084263689393,0.762786708507147,0.744831055948809,0.771926382753007,0,0.088,0,0.088,1,0.084,0,0.081,1,0.08
0.756093655710665,0.757349682714624,0.788925777492689,0.764363705464026,0.795633503939723,0,0.079,0,0.077,1,0.075,0,0.074,1,0.072
0.770878571491221,0.77034450253741,0.797493201469461,0.776781432913312,0.803721087616643,1,0.07,1,0.071,1,0.07,1,0.07,1,0.067
0.723529802989742,0.722775335271857,0.755140075614434,0.730532818860378,0.762651745630341,0,0.092,0,0.092,0,0.089,0,0.086,1,0.083
0.750830928029732,0.750709081027209,0.77990003588646,0.754095956730479,0.783291827662276,0,0.086,0,0.086,1,0.083,0,0.084,1,0.082
0.729177074904127,0.728988706779493,0.761916318834897,0.735882701945464,0.768917313303348,0,0.096,0,0.094,1,0.091,0,0.093,1,0.088
0.743766959313424,0.744152636929912,0.774595783922457,0.750857988140828,0.781348039483248,0,0.084,0,0.082,1,0.08,0,0.079,1,0.076
0.774769460959956,0.774538089948058,0.801675273920089,0.78033716858077,0.807285110136276,1,0.075,1,0.076,1,0.071,1,0.07,1,0.068
0.724995688465784,0.725580967662466,0.757960723037508,0.729587291329197,0.762007201260582,0,0.091,0,0.09,0,0.086,0,0.088,0,0.084
0.754074906012355,0.754267969034197,0.781659757476034,0.759722837055105,0.786963013988037,0,0.086,0,0.085,1,0.082,0,0.08,1,0.077
0.788295975122805,0.789696566101653,0.815859425131183,0.792071856686914,0.818349121281158,1,0.067,1,0.067,1,0.063,1,0.066,1,0.061
0.741601480468652,0.740375429857925,0.776360432802092,0.745869863243146,0.781951484120194,0,0.089,0,0.09,1,0.086,0,0.086,1,0.082
0.711048493146317,0.710745061586382,0.740548117373768,0.716611534338506,0.747202090526286,0,0.091,0,0.09,0,0.086,0,0.086,0,0.085
0.754218543344524,0.755013268683728,0.782603807445472,0.757355741632163,0.784877987720708,0,0.081,0,0.08,1,0.077,0,0.08,1,0.077
0.761894914777977,0.762404174899381,0.792217965076059,0.770305433911889,0.799340211602832,1,0.081,1,0.081,1,0.078,1,0.076,1,0.073
0.738288320927917,0.737905921082316,0.769837764829102,0.746261839324394,0.778254371414395,0,0.082,0,0.082,1,0.075,0,0.076,1,0.072
0.739164458362472,0.739535223816283,0.769891326698049,0.743003450713435,0.773399425145405,0,0.087,0,0.086,1,0.085,0,0.084,1,0.083
0.72210352621673,0.722741610417584,0.753213896888186,0.732999300057737,0.762482249855615,0,0.093,0,0.093,0,0.092,0,0.088,1,0.085
0.771264879480331,0.770557309748004,0.800156686130197,0.775652627933115,0.804957147342887,1,0.075,1,0.076,1,0.072,1,0.073,1,0.069
0.775967894387817,0.774733703311853,0.802564884379776,0.78176207790422,0.809410298817089,1,0.076,1,0.076,1,0.074,1,0.072,1,0.068
0.74795049818207,0.749308462333323,0.779292643877057,0.760288318451407,0.790342582859772,0,0.077,0,0.076,1,0.073,0,0.071,1,0.068
0.73923130046676,0.738338683022117,0.771448776035621,0.744902358449259,0.777841040937808,0,0.09,0,0.091,1,0.088,0,0.088,1,0.083
0.756743568229524,0.755724985314829,0.784874745092853,0.762965567310474,0.792169497049435,0,0.08,0,0.079,1,0.078,0,0.075,1,0.073
0.743188587097804,0.741896331497952,0.77202234051859,0.749084866649639,0.779099458656474,0,0.082,0,0.082,1,0.08,0,0.078,1,0.076
0.783423339845093,0.783169137326422,0.812207287716374,0.785923681050498,0.81498515816415,1,0.071,1,0.07,1,0.066,1,0.069,1,0.064
0.775709241295592,0.7752949581848,0.803893498538562,0.778267990172349,0.806635844593948,1,0.072,1,0.072,1,0.071,1,0.071,1,0.067
0.768125591173799,0.768064107817763,0.798873182682714,0.772901413954974,0.803417494425031,1,0.075,1,0.073,1,0.069,1,0.071,1,0.067
0.760181838971124,0.760412311104103,0.789888261306552,0.768404404553784,0.797679569058101,0,0.074,0,0.072,1,0.067,1,0.067,1,0.064
0.805910863380476,0.805530379723415,0.839078326441869,0.809172109329393,0.842586988747609,1,0.063,1,0.063,0,0.059,1,0.06,0,0.059
0.76170918351961,0.76212234965379,0.79656032408282,0.768662081470853,0.802559268617337,0,0.079,0,0.078,1,0.073,1,0.075,1,0.071
0.745209170638443,0.745504259017052,0.772808687744229,0.749810104389339,0.777039289924032,0,0.077,0,0.076,1,0.076,0,0.073,1,0.074
0.761648785603297,0.761686318318791,0.788385701651245,0.768443786351432,0.795388595263872,0,0.076,0,0.075,1,0.072,0,0.07,1,0.069
0.736586606467944,0.736580508715697,0.767131031383187,0.743418049045298,0.773783376410148,0,0.085,0,0.085,1,0.083,0,0.081,1,0.079
0.723937646250337,0.724844156236345,0.757805687497478,0.730115702148022,0.763556272163333,0,0.092,0,0.091,0,0.087,0,0.089,1,0.085
0.700017889558473,0.701234267826557,0.735259739936087,0.714921300977536,0.748377815707271,0,0.104,0,0.103,0,0.101,0,0.095,0,0.092
0.737457518258829,0.737532386397495,0.768392289973649,0.747114240666482,0.778238763609692,0,0.086,0,0.085,1,0.083,0,0.08,1,0.077
0.715016212386808,0.715260032023903,0.745870953956883,0.717283616286788,0.747922339726291,0,0.093,0,0.092,0,0.089,0,0.089,0,0.086
0.767056123069837,0.76735724501673,0.794989603707554,0.772962755458982,0.800272735807981,1,0.072,1,0.071,1,0.072,1,0.068,1,0.068
0.758047676622443,0.758699516643947,0.787147026895782,0.765950130493587,0.794182436807622,0,0.075,0,0.073,1,0.071,1,0.069,1,0.066
0.790949798382871,0.792796170115791,0.821978153707577,0.799178222637509,0.828007206131029,1,0.064,1,0.062,1,0.058,1,0.058,1,0.054
0.739767359263054,0.739828863349498,0.773015946691792,0.746598225886416,0.779397557437136,0,0.091,0,0.091,1,0.087,0,0.088,1,0.083
0.768146994996864,0.769061284833826,0.79261990761311,0.777773809610712,0.801874301811274,1,0.08,1,0.079,1,0.076,1,0.074,1,0.072
0.739276261931823,0.738902309730116,0.76537903375164,0.745227594747232,0.77186988438238,0,0.086,0,0.086,1,0.084,0,0.081,1,0.08
0.731147270961925,0.731854332274156,0.76063358975771,0.74054437301049,0.769292456168129,0,0.092,0,0.091,0,0.087,0,0.085,1,0.083
0.783789240316446,0.783507392849674,0.81437938746969,0.78752267397495,0.818157172628049,1,0.073,1,0.073,1,0.068,1,0.069,1,0.064
0.725638877014582,0.725492641204603,0.759441042742936,0.731937646841155,0.76536121465253,0,0.092,0,0.091,0,0.089,0,0.086,1,0.085
0.756474640743344,0.756194467730904,0.788457189926343,0.763671095003683,0.795597972089417,0,0.081,0,0.081,1,0.076,0,0.076,1,0.073
0.758343448490507,0.75816938519943,0.788261760100326,0.760396482318392,0.790612308260153,0,0.075,0,0.075,1,0.073,0,0.075,1,0.072
0.723584667003055,0.72301073445534,0.755124047940254,0.732234902864561,0.764195463867166,0,0.088,0,0.088,0,0.085,0,0.084,0,0.08
0.785156750327834,0.785100084929223,0.812820239338961,0.788089935606652,0.815802067464504,1,0.067,1,0.068,1,0.065,1,0.067,1,0.063
0.756683903165696,0.7559340949365,0.787290804495643,0.761328279190539,0.792303040341268,0,0.078,0,0.078,1,0.074,0,0.074,1,0.071
0.700434747341915,0.701078771369937,0.736362166030967,0.708029155646874,0.742647066614015,0,0.101,0,0.1,0,0.098,0,0.094,0,0.091
0.774226904260434,0.773601186813213,0.805616753038074,0.782877206126406,0.814674943532108,1,0.073,1,0.075,1,0.07,1,0.068,1,0.063
0.755694132351181,0.755824284951433,0.785855549832016,0.759405228536436,0.789331050316963,0,0.077,0,0.077,1,0.076,0,0.075,1,0.072
0.750824327646989,0.750424691902985,0.776931894175874,0.75584430539115,0.783012727952969,0,0.08,0,0.08,1,0.078,0,0.078,1,0.075
0.723541211761747,0.724265558526723,0.753303878544642,0.730236201122564,0.758841528694195,0,0.088,0,0.089,0,0.085,0,0.082,0,0.08
0.754364079754759,0.754598257755626,0.781606327751607,0.762018323871634,0.789307682271548,0,0.086,0,0.083,1,0.082,0,0.079,1,0.077
0.762005116463761,0.761435585024968,0.790900914881206,0.769357040656723,0.798666928698055,0,0.083,0,0.083,1,0.081,1,0.079,1,0.074
0.772254326645089,0.7718124396218,0.800573127210644,0.777093607077214,0.806235114188537,1,0.072,1,0.072,1,0.067,1,0.068,1,0.064
0.722731164875482,0.722928007185437,0.755704973432205,0.731972963548968,0.765325382291917,0,0.094,0,0.094,0,0.094,0,0.091,1,0.086
0.720933673033048,0.72277830130708,0.762270317034192,0.731866697252532,0.77031944392588,0,0.089,0,0.089,0,0.082,0,0.084,1,0.08
0.778574846717512,0.778071348924397,0.809034257372092,0.781833904289839,0.812430720175517,1,0.072,1,0.073,1,0.067,1,0.071,1,0.066
0.770650256005205,0.770418995028266,0.798936740249798,0.772547739182951,0.80094955471793,1,0.081,1,0.082,1,0.075,1,0.079,1,0.074
0.731927208761186,0.731537524643953,0.766680297682862,0.741001296627698,0.775838486857824,0,0.088,0,0.088,1,0.083,0,0.085,1,0.081
0.750582386712534,0.751418798726048,0.779087945254998,0.759717493142661,0.787095518178883,0,0.086,0,0.086,1,0.081,0,0.08,1,0.074
0.77098550323011,0.771037339162387,0.796342182137289,0.773947126370014,0.798933303361638,1,0.074,1,0.073,1,0.071,1,0.071,1,0.068
