"alfa","alfa_std","alfa_ordinal","omega","omega_ordinal","alfa_cobre","alfa_amplitude","alfa_std_cobre","alfa_std_amplitude","alfa_ordinal_cobre","alfa_ordinal_amplitude","omega_cobre","omega_amplitude","omega_ordinal_cobre","omega_ordinal_amplitude"
0.866166963194609,0.866756541587614,0.883091298958346,0.868112630525014,0.884026207873542,1,0.079,1,0.079,1,0.08,1,0.079,1,0.078
0.870996273090634,0.871170151131668,0.88590490246161,0.871967210306306,0.886690857366733,1,0.073,1,0.073,1,0.068,1,0.073,1,0.066
0.87752808988764,0.87775148168199,0.898236226889516,0.87807057719454,0.898451436370839,1,0.081,1,0.081,1,0.075,1,0.081,1,0.075
0.877132721479574,0.877872179455517,0.896687028469727,0.878292856428162,0.897069667695318,1,0.076,1,0.077,1,0.07,1,0.075,1,0.068
0.868451025056948,0.868744426520909,0.883799701089185,0.869086980264709,0.884319874291175,1,0.08,1,0.081,1,0.075,1,0.08,1,0.074
0.890039440907833,0.890305943797257,0.900585955598958,0.89095092911969,0.901047050213454,1,0.067,1,0.067,1,0.063,1,0.067,1,0.062
0.886289166892599,0.885678676091704,0.893222494873971,0.887333949638419,0.8948207861075,1,0.064,1,0.066,1,0.063,1,0.065,1,0.062
0.903843445967909,0.904666204854044,0.919251995286787,0.905395024523641,0.919772189206543,1,0.065,1,0.065,1,0.06,1,0.065,1,0.06
0.885604427765712,0.885608937818213,0.903297937725071,0.886031945826128,0.903623823931375,1,0.069,1,0.07,1,0.067,1,0.069,1,0.067
0.890301378476163,0.890724019659135,0.899113872432569,0.891955976777661,0.900082827353121,1,0.063,1,0.062,1,0.061,1,0.06,1,0.061
0.861415877518668,0.860741381765126,0.880702188496703,0.862858668350164,0.882132911632408,1,0.091,1,0.092,1,0.084,1,0.09,1,0.082
0.893321797648987,0.893567003210404,0.897057702085212,0.893734389095742,0.897085873986395,1,0.07,1,0.069,1,0.068,1,0.067,1,0.067
0.892322404217211,0.892215855803246,0.903380872313106,0.89288168048864,0.903843541536923,1,0.069,1,0.07,1,0.066,1,0.067,1,0.064
0.881039824823783,0.880990001165638,0.890937786810219,0.881220615868916,0.891223919750396,1,0.074,1,0.074,1,0.071,1,0.075,1,0.07
0.876265240755454,0.876932747934257,0.888366527580443,0.877219248357642,0.88853868576753,1,0.071,1,0.072,1,0.069,1,0.071,1,0.069
0.868252521881978,0.868407445013306,0.883249852846785,0.868835987307352,0.883633936262494,1,0.081,1,0.083,1,0.077,1,0.082,1,0.077
0.873148856397653,0.873805896397958,0.891417026072534,0.874941953764136,0.892336521724816,1,0.08,1,0.08,1,0.074,1,0.078,1,0.072
0.85975671675831,0.861090174568349,0.876187918892614,0.861731749004094,0.876806693962627,0,0.086,0,0.085,1,0.08,0,0.083,1,0.082
0.902024113026056,0.902279498746699,0.91573516967704,0.903051935473382,0.916221120477074,1,0.054,1,0.054,1,0.053,1,0.052,1,0.051
0.872430719813552,0.872699254674107,0.884844717768119,0.874414684013946,0.886156480715386,1,0.08,1,0.082,1,0.073,1,0.079,1,0.075
0.892495372707387,0.892661383698729,0.905197308001316,0.893370358180887,0.905951294968791,1,0.064,1,0.064,1,0.06,1,0.063,1,0.06
0.851784955017581,0.85195466156591,0.86989441430608,0.853538860084458,0.871230984859845,0,0.094,0,0.096,1,0.09,0,0.096,1,0.092
0.877722594406771,0.878304285294132,0.898839337631764,0.879006315206063,0.899291559036452,1,0.078,1,0.078,1,0.074,1,0.077,1,0.073
0.896189197954207,0.896307878553456,0.912175201987159,0.8964512141685,0.912228135208669,1,0.061,1,0.062,1,0.055,1,0.061,1,0.054
0.920558132807582,0.920617598951085,0.934295874814756,0.920834450038184,0.934476380136301,1,0.051,1,0.051,0,0.047,1,0.05,0,0.047
