"M","confiabilidade","n","num_pontos","coeficiente","vicio","eqm","pc_amplitude"
1000,0.8,200,7,"omega ordinal",0.001,0.001,"0.946 (0.092)"
1000,0.8,350,3,"alfa_std",-0.063,0.004,"0.111 (0.087)"
1000,0.8,350,3,"alfa ordinal",-0.001,0,"0.957 (0.08)"
1000,0.8,350,3,"omega",-0.062,0.004,"0.113 (0.086)"
1000,0.8,350,3,"omega ordinal",0,0,"0.956 (0.08)"
1000,0.8,350,5,"alfa_std",-0.031,0.001,"0.594 (0.076)"
1000,0.8,350,5,"alfa ordinal",-0.001,0,"0.958 (0.073)"
1000,0.8,350,5,"omega",-0.03,0.001,"0.594 (0.076)"
1000,0.8,350,5,"omega ordinal",0,0,"0.956 (0.072)"
1000,0.8,350,7,"alfa_std",-0.022,0.001,"0.787 (0.074)"
1000,0.8,350,7,"alfa ordinal",-0.001,0,"0.958 (0.071)"
1000,0.8,350,7,"omega",-0.021,0.001,"0.782 (0.073)"
1000,0.8,350,7,"omega ordinal",0,0,"0.958 (0.07)"
1000,0.8,500,3,"alfa_std",-0.062,0.004,"0.043 (0.072)"
1000,0.8,500,3,"alfa ordinal",0,0,"0.932 (0.067)"
1000,0.8,500,3,"omega",-0.061,0.004,"0.043 (0.072)"
1000,0.8,500,3,"omega ordinal",0.001,0,"0.932 (0.066)"
1000,0.8,500,5,"alfa_std",-0.03,0.001,"0.51 (0.063)"
1000,0.8,500,5,"alfa ordinal",0,0,"0.95 (0.061)"
1000,0.8,500,5,"omega",-0.029,0.001,"0.51 (0.063)"
1000,0.8,500,5,"omega ordinal",0.001,0,"0.952 (0.06)"
1000,0.8,500,7,"alfa_std",-0.021,0.001,"0.723 (0.061)"
1000,0.8,500,7,"alfa ordinal",0,0,"0.944 (0.059)"
1000,0.8,500,7,"omega",-0.021,0.001,"0.719 (0.061)"
1000,0.8,500,7,"omega ordinal",0.001,0,"0.943 (0.058)"
1000,0.9,100,3,"alfa_std",-0.049,0.003,"0.329 (0.095)"
1000,0.9,100,3,"alfa ordinal",-0.001,0,"0.939 (0.082)"
