"M","confiabilidade","n","num_pontos","coeficiente","vicio","eqm","pc_amplitude"
1000,0.8,200,7,"omega",-0.035,0.002,"0.674 (0.099)"
1000,0.8,200,7,"omega ordinal",-0.013,0.001,"0.92 (0.095)"
1000,0.8,350,3,"alfa_std",-0.082,0.007,"0.009 (0.092)"
1000,0.8,350,3,"alfa ordinal",-0.019,0.001,"0.88 (0.086)"
1000,0.8,350,3,"omega",-0.075,0.006,"0.016 (0.088)"
1000,0.8,350,3,"omega ordinal",-0.013,0.001,"0.919 (0.082)"
1000,0.8,350,5,"alfa_std",-0.051,0.003,"0.245 (0.082)"
1000,0.8,350,5,"alfa ordinal",-0.02,0.001,"0.83 (0.079)"
1000,0.8,350,5,"omega",-0.044,0.002,"0.298 (0.078)"
1000,0.8,350,5,"omega ordinal",-0.014,0.001,"0.888 (0.075)"
1000,0.8,350,7,"alfa_std",-0.041,0.002,"0.405 (0.079)"
1000,0.8,350,7,"alfa ordinal",-0.02,0.001,"0.828 (0.076)"
1000,0.8,350,7,"omega",-0.035,0.002,"0.498 (0.075)"
1000,0.8,350,7,"omega ordinal",-0.014,0.001,"0.895 (0.072)"
1000,0.8,500,3,"alfa_std",-0.082,0.007,"0.001 (0.077)"
1000,0.8,500,3,"alfa ordinal",-0.019,0.001,"0.812 (0.072)"
1000,0.8,500,3,"omega",-0.075,0.006,"0.001 (0.074)"
1000,0.8,500,3,"omega ordinal",-0.013,0,"0.865 (0.069)"
1000,0.8,500,5,"alfa_std",-0.05,0.003,"0.116 (0.068)"
1000,0.8,500,5,"alfa ordinal",-0.019,0.001,"0.794 (0.065)"
1000,0.8,500,5,"omega",-0.043,0.002,"0.169 (0.065)"
1000,0.8,500,5,"omega ordinal",-0.013,0,"0.86 (0.062)"
1000,0.8,500,7,"alfa_std",-0.041,0.002,"0.261 (0.066)"
1000,0.8,500,7,"alfa ordinal",-0.019,0.001,"0.781 (0.063)"
1000,0.8,500,7,"omega",-0.034,0.001,"0.373 (0.063)"
1000,0.8,500,7,"omega ordinal",-0.013,0,"0.853 (0.06)"
1000,0.9,100,3,"alfa_std",-0.049,0.003,"0.324 (0.095)"
1000,0.9,100,3,"alfa ordinal",-0.001,0,"0.941 (0.082)"
1000,0.9,100,3,"omega",-0.048,0.003,"0.322 (0.094)"
1000,0.9,100,3,"omega ordinal",0,0,"0.939 (0.081)"
1000,0.9,100,5,"alfa_std",-0.024,0.001,"0.759 (0.078)"
1000,0.9,100,5,"alfa ordinal",-0.001,0,"0.94 (0.073)"
1000,0.9,100,5,"omega",-0.023,0.001,"0.753 (0.077)"
1000,0.9,100,5,"omega ordinal",0,0,"0.937 (0.072)"
1000,0.9,100,7,"alfa_std",-0.016,0.001,"0.869 (0.074)"
1000,0.9,100,7,"alfa ordinal",-0.001,0,"0.938 (0.069)"
1000,0.9,100,7,"omega",-0.016,0.001,"0.864 (0.073)"
1000,0.9,100,7,"omega ordinal",-0.001,0,"0.929 (0.068)"
1000,0.9,200,3,"alfa_std",-0.048,0.003,"0.078 (0.066)"
1000,0.9,200,3,"alfa ordinal",0,0,"0.948 (0.057)"
1000,0.9,200,3,"omega",-0.047,0.003,"0.077 (0.066)"
1000,0.9,200,3,"omega ordinal",0,0,"0.946 (0.056)"
1000,0.9,200,5,"alfa_std",-0.023,0.001,"0.583 (0.054)"
1000,0.9,200,5,"alfa ordinal",0,0,"0.951 (0.05)"
1000,0.9,200,5,"omega",-0.022,0.001,"0.582 (0.054)"
1000,0.9,200,5,"omega ordinal",0,0,"0.949 (0.05)"
1000,0.9,200,7,"alfa_std",-0.016,0,"0.769 (0.051)"
1000,0.9,200,7,"alfa ordinal",0,0,"0.959 (0.048)"
1000,0.9,200,7,"omega",-0.015,0,"0.769 (0.051)"
1000,0.9,200,7,"omega ordinal",0,0,"0.958 (0.048)"
1000,0.9,350,3,"alfa_std",-0.048,0.002,"0.002 (0.05)"
1000,0.9,350,3,"alfa ordinal",0,0,"0.966 (0.043)"
1000,0.9,350,3,"omega",-0.048,0.002,"0.002 (0.05)"
1000,0.9,350,3,"omega ordinal",0,0,"0.968 (0.042)"
1000,0.9,350,5,"alfa_std",-0.023,0.001,"0.313 (0.041)"
1000,0.9,350,5,"alfa ordinal",0,0,"0.96 (0.038)"
1000,0.9,350,5,"omega",-0.022,0.001,"0.316 (0.041)"
1000,0.9,350,5,"omega ordinal",0,0,"0.96 (0.038)"
1000,0.9,350,7,"alfa_std",-0.016,0,"0.593 (0.039)"
1000,0.9,350,7,"alfa ordinal",0,0,"0.965 (0.036)"
1000,0.9,350,7,"omega",-0.015,0,"0.595 (0.038)"
1000,0.9,350,7,"omega ordinal",0,0,"0.967 (0.036)"
1000,0.9,500,3,"alfa_std",-0.048,0.002,"0 (0.041)"
1000,0.9,500,3,"alfa ordinal",0,0,"0.95 (0.035)"
1000,0.9,500,3,"omega",-0.047,0.002,"0 (0.041)"
1000,0.9,500,3,"omega ordinal",0,0,"0.95 (0.035)"
1000,0.9,500,5,"alfa_std",-0.022,0.001,"0.191 (0.034)"
1000,0.9,500,5,"alfa ordinal",0,0,"0.946 (0.031)"
1000,0.9,500,5,"omega",-0.022,0.001,"0.192 (0.034)"
1000,0.9,500,5,"omega ordinal",0,0,"0.946 (0.031)"
1000,0.9,500,7,"alfa_std",-0.015,0,"0.496 (0.032)"
1000,0.9,500,7,"alfa ordinal",0,0,"0.945 (0.03)"
1000,0.9,500,7,"omega",-0.015,0,"0.493 (0.032)"
1000,0.9,500,7,"omega ordinal",0,0,"0.945 (0.03)"
