"estimativa","ic_normal_cobre","amplitude_ic_normal","ic_boot_cobre","amplitude_ic_boot"
0.21418146666582,1,0.375479911934923,1,0.44549958424141
0.322465777900797,1,0.353405244407688,1,0.365193728590186
0.0882784011760924,1,0.389892056643245,1,0.413504737605266
0.189947740929279,1,0.379190470870376,1,0.410205011823808
0.188802260370312,1,0.379354782249427,1,0.396792097436053
0.377212891021777,1,0.338799592979539,1,0.390154878564054
0.225897097347053,1,0.373525366846308,1,0.402023193828179
0.202705226022555,1,0.37729292377691,1,0.405705853620133
0.186026415272773,1,0.379748813416031,1,0.373180549255335
0.244384407285182,1,0.370227645467363,1,0.381229510036166
0.120902579668157,1,0.387312399331616,1,0.424901228248818
0.12068189305912,1,0.387332557855851,1,0.416603316605891
0.123773857299745,1,0.387046759165719,1,0.442752783934065
0.425378098400115,0,0.324015815075201,0,0.31916174149512
0.161299016990634,1,0.38300010576415,1,0.373566172121122
0.307194765997512,1,0.35706480352469,1,0.368883080723277
0.146969240081405,1,0.384671546943959,1,0.508726779175455
0.262217757711082,1,0.366798546202474,1,0.455371531560271
0.016850154153167,1,0.392729000212049,1,0.415874609124596
0.0759251516253067,1,0.39065856274007,1,0.43235922818025
0.129979682095567,1,0.386451266789456,1,0.431136638175287
0.293756422512245,1,0.360136242526919,1,0.411298098927552
0.121907971228281,1,0.387220095121166,1,0.447277134957794
0.229847865967162,1,0.372842603723808,1,0.37614369435567
-0.0280390139714922,0,0.392539299055741,0,0.380962213018362
0.139498836607053,1,0.385481077386705,1,0.362272811200905
0.174301523451777,1,0.381348448746943,1,0.396748012829741
0.348264208790919,1,0.34681277068707,1,0.361715584564783
0.0958219808327146,1,0.389367199282704,1,0.417961438028197
0.466167399702878,0,0.310067771853457,0,0.379982678993252
0.169676540695242,1,0.381950671985406,1,0.375276791072773
0.0825953399736744,1,0.390259023828711,1,0.40214424814996
0.243477672208017,1,0.370395486589322,1,0.412569342703709
0.39786706210083,0,0.332682712218825,0,0.337653864201668
-0.0174014318798166,0,0.392721868634298,0,0.383534330997435
0.23356560470315,1,0.372189212558103,1,0.389271826445669
0.15118658144893,1,0.384195826391055,1,0.413383754103114
0.277344563968998,1,0.36369857386547,1,0.354556869107183
0.0789674892959931,1,0.39048050373167,1,0.44051844970093
0.243065578219551,1,0.37047155911403,1,0.45613864468458
0.379649309984695,1,0.338095377113473,1,0.386447773728729
