"estimativa","ic_normal_cobre","amplitude_ic_normal","ic_boot_cobre","amplitude_ic_boot"
-0.0137307167215441,1,0.175348364435506,1,0.175881459431324
-0.0377289430442521,1,0.1751334419073,1,0.186693025835424
-0.0543153521858766,1,0.174867740191473,1,0.171029920467664
0.0973933914157611,0,0.173730273803836,0,0.174006367944434
-0.00999408358348465,1,0.175363792608212,1,0.177985615684836
0.0626937740194009,1,0.174697118030071,1,0.179611823273622
-0.0909468384511192,0,0.173941603464354,1,0.172793181517325
-0.0331800245512897,1,0.175189578784507,1,0.177420109444228
-0.0141274424062445,1,0.175346441013718,1,0.163998912123635
-0.0493255378874854,1,0.174957744644484,1,0.171115749441946
0.0564790729086274,1,0.174826017710993,1,0.171912865344263
-0.0320895786066965,1,0.175201965402138,1,0.178095946583834
-0.00241819901007139,1,0.175380157602533,1,0.173018588660985
-0.0411670818082699,1,0.175086233490236,1,0.166350033074093
-0.0574689626031549,1,0.174806386556998,1,0.177742683359234
-0.00374255779693524,1,0.175378737661559,1,0.174412129925866
0.0362784536864395,1,0.175152124163595,1,0.188111457409461
0.0115324210163221,1,0.175358029504913,1,0.1736618066671
0.104156220464893,0,0.173493022402075,0,0.169165107735009
-0.0538276607385434,1,0.174876919154809,1,0.174370550422597
-0.0296307972753049,1,0.17522837643237,1,0.191340683147795
-0.0472142194673311,1,0.174993218305489,1,0.167143326679079
0.0201325158155476,1,0.17531063650888,1,0.171081722367735
-0.0199004764454037,1,0.175312253147349,1,0.173264303445754
0.0347104864208604,1,0.175171495813188,1,0.169115455412972
-0.0419395464331468,1,0.17507506083755,1,0.18102376026306
-0.0482684415021346,1,0.174975699587143,1,0.172112040700541
0.0133176924649475,1,0.175350308671639,1,0.166491931338267
-0.040746515063899,1,0.175092229089966,1,0.172360775472468
-0.0173358092669569,1,0.17532887311584,1,0.167668642984085
-0.0218610568483579,1,0.175298003815081,1,0.178169658358447
0.0548086165664683,1,0.174858372117864,1,0.172232322107209
-0.00224260814223134,1,0.175380300029949,1,0.17779259831909
-0.056008810303632,1,0.174835224280174,1,0.175355775635193
-0.0835329452895647,1,0.174166753938791,1,0.178289350143821
-0.0751613389094792,1,0.174397983181452,1,0.172291632802455
-0.0302836010630648,1,0.175221569516782,1,0.173699590919774
-0.00816895608426101,1,0.175369561771065,1,0.182066903070826
0.0133058557924374,1,0.175350363515402,1,0.165077011653691
-0.0220079863127196,1,0.175296882052955,1,0.170931683248122
0.019294419104927,1,0.175316387202774,1,0.172481362189285
-0.0275390759767883,1,0.175249188106388,1,0.169478683516483
-0.021850049348517,1,0.17529808755146,1,0.172241567962873
-0.00295187470153131,1,0.175379658846434,1,0.174965061616077
0.0356829293537895,1,0.175159582434639,1,0.168912067980069
-0.0743955541768373,1,0.17441791656349,1,0.176220834397547
-0.0856108750467052,1,0.174105580163933,0,0.157741037082535
-0.0309807855480358,1,0.175214136029999,1,0.187755168484945
-0.0184428363878628,1,0.175321980012343,1,0.182433563887796
0.0331836092828863,1,0.175189537382189,1,0.16978189262955
-0.00216841356694429,1,0.175380356986264,1,0.17823502471442
-0.0467579993853006,1,0.175000679684956,1,0.184864765101812
0.0320525860914555,1,0.175202378349643,1,0.184736107923465
0.0411226560381353,1,0.17508686973241,1,0.171883773936727
0.00534585437602158,1,0.175376201759217,1,0.182776487714617
-9.49983970064171e-05,1,0.175381173719815,1,0.173559537354123
-0.0307181087560289,1,0.175216956593902,1,0.174774006018077
0.00464377457742642,1,0.175377422339932,1,0.176478982856021
0.0278185267581271,1,0.175246495838805,1,0.176296656022187
0.0351065506959789,1,0.175166683368767,1,0.173510977576677
-0.0999508044680524,0,0.173642428048823,0,0.177588031113922
0.059297008545869,1,0.174769236740216,1,0.170857283060033
0.0538922765933163,1,0.174875707761798,1,0.17029008266026
0.0165920320285891,1,0.175333264804424,1,0.18049349650074
0.0259199553506777,1,0.175264251942042,1,0.177543732289885
0.0633784451190479,1,0.174682094968854,1,0.178862814131095
0.0388069835828161,1,0.175119082360873,1,0.175399135063196
0.028324413022935,1,0.17524155291628,1,0.179793223294851
